,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
40,40,14.0,464.7,19.07188796807814,47.49702377873526,12077.9
41,41,14.0,164.7,19.05706501177119,47.520428985589604,12696.5
42,42,14.0,285.6,19.052515985098424,47.52053911635595,12891.9
43,43,14.0,194.8,19.037899014070238,47.5106032001415,13219.7
44,44,14.0,219.4,19.028929706762582,47.50638247389574,13455.6
45,45,15.0,224.1,19.070809840276368,47.50323067752926,13728.5
46,46,15.0,245.4,19.06867265657096,47.4929899148213,14104.4
47,47,15.0,51.2,19.065698623619138,47.49024962130389,14402.5
48,48,15.0,97.0,19.066320896135696,47.4899944336084,14504.7
49,49,15.0,127.3,19.064145087571166,47.48799348433502,14739.1
50,50,15.0,158.7,19.080036639659824,47.48525873073302,14947.7
51,51,15.0,286.6,19.063471316115578,47.488799672712794,15280.3
52,52,15.0,138.1,19.064286707689,47.489214361742846,15583.2
53,53,15.0,244.3,19.075273990078678,47.496069048938715,15765.0
54,54,15.0,122.7,19.056648729927872,47.500322496057144,16172.2
55,55,15.0,114.9,19.056292533080207,47.50085306509434,16311.5
56,56,15.0,96.8,19.063635350347187,47.50239835378201,16474.6
57,57,15.0,156.6,19.056738853726028,47.50665708641489,16638.1
58,58,15.0,118.3,19.050335883583497,47.5072223788363,16830.6
59,59,15.0,87.3,19.048228741144126,47.50743110100682,17006.1
60,60,15.0,157.0,19.04779100409137,47.50726876082622,17124.4
61,61,15.0,508.7,19.044061659478867,47.5079152150543,17316.2
62,62,15.0,254.1,19.04653358497832,47.5078949242945,17874.5
63,63,15.0,76.7,19.045550822507874,47.5086863129623,18161.2
64,64,15.0,229.2,19.048726558109625,47.50745719011396,18266.0
65,65,15.0,152.2,19.082479477714696,47.50735283006898,18638.3
66,66,15.0,129.4,19.079428197664004,47.506546926511206,18835.3
67,67,15.0,275.1,19.057099341060564,47.50545980630792,19018.6
68,68,15.0,294.8,19.05916786126016,47.500331193605334,19328.9
69,69,15.0,57.1,19.058296680260842,47.49666345041785,19675.8
70,70,15.0,441.1,19.04867935227679,47.50397838653871,19858.3
71,71,15.0,178.7,19.042263506744675,47.49899169935179,20348.9
72,72,15.0,111.8,19.04063272490751,47.499339623130666,20578.4
73,73,15.0,178.2,19.036281107778454,47.513779325483746,20994.6
74,74,15.0,133.5,19.033405779598496,47.5169850325868,21219.6
75,75,15.0,195.6,19.063854217563918,47.507471684646525,21440.4
76,76,15.0,792.2,19.0649013530533,47.50850368613949,21659.5
77,77,15.0,449.9,19.06258344539108,47.50386945109092,22520.9
78,78,15.0,180.0,19.05540370853423,47.506893130228114,23011.6
79,79,15.0,166.1,19.057639599630853,47.49916689171716,23322.4
80,80,15.0,278.9,19.053863049185516,47.499497418966804,23514.7
81,81,15.0,228.3,19.058703899687035,47.49974386284118,23822.8
82,82,15.0,613.0,19.056862830297202,47.49961918996302,24083.9
83,83,15.0,554.8,19.072089194523336,47.50033822272016,24746.6
84,84,16.0,143.3,19.05731248805158,47.503981859895795,25445.6
85,85,16.0,351.4,19.055604457805867,47.50409492445229,25614.7
86,86,16.0,168.9,19.05688548114498,47.50435294288333,26011.7
87,87,16.0,100.8,19.051379441471287,47.506148891114634,26222.8
88,88,16.0,363.0,19.050055504095855,47.50694175610692,26344.0
89,89,16.0,322.9,19.054662465437968,47.50797086807908,26763.4
90,90,16.0,204.5,19.056756735107083,47.5078549128092,27120.1
91,91,16.0,238.4,19.049752950120965,47.50260331976079,27370.7
